City,School Name,Slug
Singapore,5 Steps Academy Singapore,5-steps-academy
Singapore,All Hands Together Singapore,all-hands-together
Singapore,Anglo Chinese School Singapore,anglo-chinese-school
Singapore,Astor International School Singapore,astor-international-school
Singapore,Australian International School Singapore,australian-international-school
Singapore,Brighton College Singapore,brighton-college
Singapore,Canadian International School Singapore,canadian-international-school
Singapore,Chatsworth International School Singapore,chatsworth-international-school
Singapore,Dimensions International School,dimensions-international-college
Singapore,Dover Court International School Singapore,dover-court-international-school
Singapore,Dps International School Singapore,dps-international-school
Singapore,Dulwich College Singapore,dulwich-college
Singapore,Dynamics International School Singapore,dynamics-international-school
Singapore,Etonhouse International School Broadrick Singapore,etonhouse-international-school-broadrick
Singapore,Etonhouse International School Orchard Singapore,etonhouse-international-school-orchard
Singapore,Furen International School Singapore,furen-international-school
Singapore,Gess Singapore,gess
Singapore,Gig International School Singapore,gig-international-school
Singapore,Heritage Academy Singapore,heritage-academy
Singapore,Holland International School Singapore,holland-international-school
Singapore,Hwa Chong International School Singapore,hwa-chong-international-school
Singapore,Hwa International School Singapore,hwa-international-school
Singapore,Insworld Institute Singapore,insworld-institute
Singapore,Integrated International School Singapore,integrated-international-school
Singapore,International Community School Singapore,international-community-school
Singapore,International French School Singapore,international-french-school
Singapore,Invictus International School Singapore,invictus-international-school
Singapore,ISS International School Singapore,iss-international-school
Singapore,Kindle Kids International School Singapore,kindle-kids-international-school
Singapore,Knightsbridge House International School Singapore,knightsbridge-house-international-school
Singapore,Le Petite Ecole Singapore,le-petite-ecole
Singapore,Lodestar Montessori School Singapore,lodestar-montessori-school
Singapore,Lotus Bridge International School Singapore,lotus-bridge-international-school
Singapore,Melbourne International School Singapore,melbourne-international-school
Singapore,Middleton International School Singapore,middleton-international-school
Singapore,Nexus International School Singapore,nexus-international-school
Singapore,North London Collegiate School Singapore,north-london-collegiate-school
Singapore,Nps International School Singapore,nps-international-school
Singapore,One World International School Singapore,one-world-international-school
Singapore,Overseas Family School Singapore,overseas-family-school
Singapore,Rd American School Singapore,rd-american-school
Singapore,San Yu Adventist School Singapore,san-yu-adventist-school
Singapore,Sfa Eduhearts International School Singapore,sfa-eduhearts-international-school
Singapore,Singapore American School,singapore-american-school
Singapore,Singapore Korean International School,singapore-korean-international-school
Singapore,Sir Manasseh Meyer International School Singapore,sir-manasseh-meyer-international-school
Singapore,Sish International High School Singapore,sish-international-high-school
Singapore,St Francis Methodist School Singapore,st-francis-methodist-school
Singapore,Stalford Academy Singapore,stalford-academy
Singapore,Stamford American International School (SAIS),stamford-american-international-school-singapore
Singapore,Swiss School In Singapore,swiss-school-in
Singapore,Tanglin Trust School Singapore,tanglin-trust-school
Singapore,The Grange Institution And International Preschool Singapore,the-grange-institution-and-international-preschool
Singapore,The Guild International College Singapore,the-guild-international-college
Singapore,The Straits Waldorf School Singapore,the-straits-waldorf-school
Singapore,The Winstedt School Singapore,the-winstedt-school
Singapore,Tls Academy Singapore,tls-academy
Singapore,United World College Of South East Asia Dover Campus Singapore,united-world-college-of-south-east-asia-dover-campus
Singapore,United World College Of South East Asia East Campus Singapore,united-world-college-of-south-east-asia-east-campus
Singapore,Waseda Shibuya Senior High School Singapore,waseda-shibuya-senior-high-school
Singapore,Westbourne College Singapore,westbourne-college
Singapore,Wise Oaks International School Singapore,wise-oaks-international-school
Singapore,Xcl World Academy Singapore,xcl-world-academy
Singapore,Yuva Bharathi International School Singapore,yuva-bharathi-international-school
